Category,2023 Actual,SARIMAX 2030 Forecast,SARIMAX 2030 Lower CI,SARIMAX 2030 Upper CI,SARIMAX 2050 Forecast,SARIMAX 2050 Lower CI,SARIMAX 2050 Upper CI,ExpSmooth 2030 Forecast,ExpSmooth 2030 Lower CI,ExpSmooth 2030 Upper CI,ExpSmooth 2050 Forecast,ExpSmooth 2050 Lower CI,ExpSmooth 2050 Upper CI,Prophet 2030 Forecast,Prophet 2030 Lower CI,Prophet 2030 Upper CI,Prophet 2050 Forecast,Prophet 2050 Lower CI,Prophet 2050 Upper CI
TOTAL CROP PRODUCTION   ,146400.0,188641.05767439486,-36545.75258915909,413827.8679379488,283661.4004318841,-959299.0695037224,1526621.8703674907,149589.8423372588,139367.70823088073,159811.97644363687,165305.25953085592,155083.12542447785,175527.393637234,117251.87850991954,98919.02489663668,136805.5727013226,83356.03010571931,30866.592194882625,127887.37067132058
VEGETABLE AND MELON FARMING,25800.0,23151.342560305548,14779.185114673233,31523.50000593786,17954.33769694803,-11803.411082130497,47712.086476026554,15765.600921894737,13433.993483877435,18097.208359912038,-12058.863229236777,-14390.470667254078,-9727.255791219475,18783.186072940767,14990.44679698803,22785.585266766244,9108.373283008295,3049.053264727351,15301.7021931218
GRAPES,18100.0,17897.879707095373,-21629.25106394023,57425.01047813098,18133.053173162218,-208098.13327723523,244364.23962355967,14332.233393739381,9462.5435950504,19201.923192428363,4501.097908309946,-368.59189037903616,9370.78770699893,7569.105273391482,-649.8444493129056,15130.55619304221,-7715.861484190606,-19019.79352494824,5205.967059264815
TREE NUTS,18100.0,19601.792365573663,12393.007682374435,26810.57704877289,24650.79111105023,-10263.603372019028,59565.18559411948,19598.72676971644,18441.5708340158,20755.882705417076,24604.29561581298,23447.13968011234,25761.451551513615,18248.93167770387,16026.551046002254,20614.164160536566,19803.263800313503,6723.753895389107,32906.355162673564
