Category,2023 Actual,SARIMAX 2030 Forecast,SARIMAX 2030 Lower CI,SARIMAX 2030 Upper CI,SARIMAX 2050 Forecast,SARIMAX 2050 Lower CI,SARIMAX 2050 Upper CI,ExpSmooth 2030 Forecast,ExpSmooth 2030 Lower CI,ExpSmooth 2030 Upper CI,ExpSmooth 2050 Forecast,ExpSmooth 2050 Lower CI,ExpSmooth 2050 Upper CI,Prophet 2030 Forecast,Prophet 2030 Lower CI,Prophet 2030 Upper CI,Prophet 2050 Forecast,Prophet 2050 Lower CI,Prophet 2050 Upper CI
TOTAL CROP PRODUCTION   ,146400,188641.05767439486,-36545.75259,413827.8679379488,283661.4004318841,-959299.0695,1526621.8703674907,149589.8423372588,139367.70823088073,159811.97644363687,165305.25953085592,155083.12542447785,175527.3936,117251.87850991954,99511.06495093655,136062.13799238834,83356.03010571931,34936.251818381854,128625.33066287592
VEGETABLE AND MELON FARMING,25800,23151.342560305548,14779.185114673233,31523.50000593786,17954.33769694803,-11803.41108,47712.086476026554,15765.600921894737,13433.993483877435,18097.208359912038,-12058.86323,-14390.47067,-9727.255791,18783.186072940767,14837.585528837051,22629.493292866635,9108.373283008295,2718.072763755051,15168.886240893631
GRAPES,18100,17897.879707095373,-21629.25106,57425.01047813098,18133.053173162218,-208098.1333,244364.23962355967,14332.233393739381,9462.543595,19201.923192428363,4501.097908309946,-368.5918904,9370.787707,7569.105273391482,-12.22026249,15370.072966145424,-7715.861484,-21466.92727,5716.566407498202
TREE NUTS,18100,19601.792365573663,12393.007682374435,26810.57704877289,24650.79111105023,-10263.60337,59565.18559411948,19598.72676971644,18441.57083,20755.882705417076,24604.29561581298,23447.13968011234,25761.451551513615,18248.93167770387,16148.88935550169,20470.23569887687,19803.263800313503,7629.065646775911,32321.201255988803
TOTAL CROP PRODUCTION   ,,0.288531815,-1.249629458,1.826693087,0.937577872,-7.552589273,9.427745016,0.021788541,-0.04803478,0.091611861,0.129134286,0.059310966,0.198957607,-0.199099191,-0.320279611,-0.070613812,-0.43062821,,
VEGETABLE AND MELON FARMING,,-0.102661141,-0.427163368,0.221841086,-0.304095438,-1.457496554,0.849305677,-0.388930197,-0.479302578,-0.298557816,-1.4673978,-1.557770181,-1.377025418,-0.271969532,-0.424899786,-0.122887857,-0.646962276,,
GRAPES,,-0.011166867,-2.194986247,2.172652513,0.001826142,-12.49713444,12.50078672,-0.208163901,-0.477207536,0.060879734,-0.751320558,-1.020364193,-0.482276922,-0.581817388,-1.000675153,-0.150824698,-1.42629069,,
TREE NUTS,,0.082971954,-0.315303443,0.481247351,0.361922161,-1.56704991,2.290894232,0.082802584,0.018871317,0.146733851,0.359353349,0.295422082,0.423284616,0.008228269,-0.107796168,0.130952249,0.094102972,,
